zs[m]              temperatures[K]   pressures[Pa]     rhos[kg/m^3]      kappas[m^2/kg]    gamma1s[1]        nablaads[1]       entropies[J/K]
2.528186137e+04   6.050978558e+03   9.090136643e+03   2.278319189e-04   5.147716635e-02   1.627351522e+00   3.835047781e-01   2.335024893e-04
2.738315962e+04   6.077982639e+03   9.221962927e+03   2.301049189e-04   5.371637283e-02   1.626211882e+00   3.830501735e-01   2.358318091e-04
2.944354950e+04   6.105286714e+03   9.352490338e+03   2.323141331e-04   5.608044611e-02   1.625004053e+00   3.825642169e-01   2.380954567e-04
3.146138993e+04   6.132870029e+03   9.481525609e+03   2.344555193e-04   5.857396636e-02   1.623724103e+00   3.820451796e-01   2.402898791e-04
3.343500064e+04   6.160707413e+03   9.608871920e+03   2.365256223e-04   6.120086691e-02   1.622365475e+00   3.814907670e-01   2.424117206e-04
3.536275345e+04   6.188770521e+03   9.734334583e+03   2.385215136e-04   6.396637956e-02   1.620922565e+00   3.808992207e-01   2.444579179e-04
3.724341872e+04   6.217032548e+03   9.857742356e+03   2.404409045e-04   6.687275717e-02   1.619388819e+00   3.802676201e-01   2.464260427e-04
3.907605557e+04   6.245466824e+03   9.978941762e+03   2.422822506e-04   6.992396767e-02   1.617757320e+00   3.795942962e-01   2.483141967e-04
4.085980229e+04   6.274044351e+03   1.009779140e+04   2.440441453e-04   7.312430076e-02   1.616038084e+00   3.788825870e-01   2.501209550e-04
4.259389818e+04   6.302734167e+03   1.021414846e+04   2.457255542e-04   7.647760438e-02   1.614248514e+00   3.781383634e-01   2.518450081e-04
4.427768665e+04   6.331503273e+03   1.032788717e+04   2.473255588e-04   7.998713619e-02   1.612385273e+00   3.773600459e-01   2.534856147e-04
4.591069680e+04   6.360318014e+03   1.043889526e+04   2.488438383e-04   8.365569374e-02   1.610443354e+00   3.765452802e-01   2.550424431e-04
4.749273199e+04   6.389145897e+03   1.054708108e+04   2.502805969e-04   8.748574723e-02   1.608418703e+00   3.756924272e-01   2.565156594e-04
4.902388897e+04   6.417956401e+03   1.065237214e+04   2.516363033e-04   9.147946045e-02   1.606309175e+00   3.747999370e-01   2.579058437e-04
5.050458437e+04   6.446722061e+03   1.075472653e+04   2.529121238e-04   9.563891187e-02   1.604112029e+00   3.738667667e-01   2.592142068e-04
5.193562573e+04   6.475420632e+03   1.085413572e+04   2.541097425e-04   9.996639830e-02   1.601824760e+00   3.728913963e-01   2.604425482e-04
5.331832912e+04   6.504038532e+03   1.095062530e+04   2.552314088e-04   1.044650469e-01   1.599446416e+00   3.718733490e-01   2.615931136e-04
5.465452348e+04   6.532572359e+03   1.104426772e+04   2.562800521e-04   1.091392195e-01   1.596997976e+00   3.708216548e-01   2.626688160e-04
5.594662290e+04   6.561031963e+03   1.113517882e+04   2.572590990e-04   1.139949496e-01   1.594487429e+00   3.697392642e-01   2.636730054e-04
5.719772660e+04   6.589444280e+03   1.122352984e+04   2.581722423e-04   1.190395577e-01   1.591909885e+00   3.686236441e-01   2.646095761e-04
5.841134103e+04   6.617847987e+03   1.130953038e+04   2.590235125e-04   1.242762720e-01   1.589258552e+00   3.674708605e-01   2.654827603e-04
5.959080244e+04   6.646281422e+03   1.139337229e+04   2.598166411e-04   1.297212463e-01   1.586524963e+00   3.662769496e-01   2.662962894e-04
6.073925365e+04   6.674781982e+03   1.147525168e+04   2.605552094e-04   1.353857645e-01   1.583702326e+00   3.650381863e-01   2.670539450e-04
6.186052125e+04   6.703409169e+03   1.155541440e+04   2.612430317e-04   1.413065500e-01   1.580780745e+00   3.637493253e-01   2.677596866e-04
6.295937064e+04   6.732253592e+03   1.163417309e+04   2.618841279e-04   1.475131298e-01   1.577747822e+00   3.624041378e-01   2.684176683e-04
6.404101816e+04   6.761424926e+03   1.171188444e+04   2.624826522e-04   1.540438354e-01   1.574590921e+00   3.609961271e-01   2.690321820e-04
