r[m]	temperatures[K]	pressures[Pa]	rhos[kg/m^3]	kappas[m^2/kg]	gamma1s[idklol]	nablaads[K/m?]
6.883727423e+08	5.038080605e+04	2.390915528e+08	4.024054973e-01	1.082247561e+04	1.537549734e+00	3.068443835e-01
6.883393616e+08	5.062451555e+04	2.428730484e+08	4.065295345e-01	1.072024046e+04	1.539285183e+00	3.077682257e-01
6.883058556e+08	5.086973134e+04	2.467080019e+08	4.106848776e-01	1.061752195e+04	1.541002512e+00	3.086842895e-01
6.882722231e+08	5.111645910e+04	2.505971352e+08	4.148715963e-01	1.051422282e+04	1.542708158e+00	3.095926046e-01
6.882384635e+08	5.136470422e+04	2.545410767e+08	4.190897757e-01	1.041025037e+04	1.544409752e+00	3.104935884e-01
6.882045757e+08	5.161447184e+04	2.585406415e+08	4.233403837e-01	1.030553135e+04	1.546107054e+00	3.113859296e-01
6.881705590e+08	5.186576750e+04	2.625964349e+08	4.276227543e-01	1.019996780e+04	1.547796726e+00	3.122712374e-01
6.881364123e+08	5.211859769e+04	2.667092485e+08	4.319364260e-01	1.009346968e+04	1.549472809e+00	3.131505251e-01
6.881021346e+08	5.237296919e+04	2.708798274e+08	4.362812708e-01	9.985957233e+03	1.551125050e+00	3.140233755e-01
6.880677249e+08	5.262888917e+04	2.751089400e+08	4.406573951e-01	9.877359089e+03	1.552746534e+00	3.148895204e-01
6.880331821e+08	5.288636426e+04	2.793974942e+08	4.450663076e-01	9.767631181e+03	1.554333687e+00	3.157467842e-01
6.879985049e+08	5.314540029e+04	2.837460721e+08	4.495078359e-01	9.656707718e+03	1.555893898e+00	3.165954351e-01
6.879636925e+08	5.340600336e+04	2.881555818e+08	4.539818164e-01	9.544528908e+03	1.557435274e+00	3.174368143e-01
6.879287437e+08	5.366818013e+04	2.926268615e+08	4.584880172e-01	9.431040285e+03	1.558963537e+00	3.182715178e-01
6.878936573e+08	5.393193801e+04	2.971606096e+08	4.630264547e-01	9.316198413e+03	1.560484409e+00	3.191000819e-01
6.878584322e+08	5.419728419e+04	3.017578507e+08	4.675987500e-01	9.199992874e+03	1.561988592e+00	3.199195266e-01
6.878230673e+08	5.446422497e+04	3.064192599e+08	4.722047200e-01	9.082402448e+03	1.563472390e+00	3.207297921e-01
6.877875611e+08	5.473276648e+04	3.111459082e+08	4.768445976e-01	8.963446546e+03	1.564931631e+00	3.215305805e-01
6.877519126e+08	5.500291510e+04	3.159384709e+08	4.815181696e-01	8.843266996e+03	1.566365361e+00	3.223221004e-01
6.877161203e+08	5.527467701e+04	3.207980189e+08	4.862263462e-01	8.719718110e+03	1.567766666e+00	3.231024444e-01
6.876801828e+08	5.554805766e+04	3.257254139e+08	4.909699168e-01	8.598918655e+03	1.569137216e+00	3.238709569e-01
6.876440989e+08	5.582306223e+04	3.307216801e+08	4.957490820e-01	8.476551048e+03	1.570484519e+00	3.246286809e-01
6.876078674e+08	5.609969640e+04	3.357877489e+08	5.005639907e-01	8.353131126e+03	1.571814060e+00	3.253770769e-01
6.875714869e+08	5.637796685e+04	3.409243654e+08	5.054147604e-01	8.229473526e+03	1.573130608e+00	3.261169195e-01
6.875349561e+08	5.665788043e+04	3.461328102e+08	5.103030381e-01	8.106091608e+03	1.574428797e+00	3.268460333e-01
6.874982737e+08	5.693944313e+04	3.514139447e+08	5.152287913e-01	7.983377680e+03	1.575698853e+00	3.275633454e-01
6.874614383e+08	5.722266048e+04	3.567687934e+08	5.201920963e-01	7.861678087e+03	1.576935649e+00	3.282688260e-01
6.874244485e+08	5.750753792e+04	3.621984972e+08	5.251928735e-01	7.741307823e+03	1.578134537e+00	3.289622962e-01
6.873873026e+08	5.779408106e+04	3.677039174e+08	5.302315934e-01	7.622565975e+03	1.579295158e+00	3.296432197e-01
6.873499993e+08	5.808229513e+04	3.732864046e+08	5.353099595e-01	7.505747160e+03	1.580421925e+00	3.303106427e-01
6.873125370e+08	5.837218512e+04	3.789468901e+08	5.404275447e-01	7.391109306e+03	1.581522226e+00	3.309649229e-01
6.872749141e+08	5.866375633e+04	3.846865846e+08	5.455847176e-01	7.278909845e+03	1.582601070e+00	3.316058815e-01
6.872371290e+08	5.895701416e+04	3.905066056e+08	5.507820399e-01	7.169406649e+03	1.583655000e+00	3.322321475e-01
6.871991800e+08	5.925196264e+04	3.964082338e+08	5.560210338e-01	7.062881034e+03	1.584677458e+00	3.328416646e-01
6.871610655e+08	5.954860464e+04	4.023924936e+08	5.613017184e-01	6.959649056e+03	1.585668087e+00	3.334364295e-01
6.871227841e+08	5.984694395e+04	4.084607121e+08	5.666236014e-01	6.860175701e+03	1.586630702e+00	3.340198398e-01
6.870843345e+08	6.014698682e+04	4.146140534e+08	5.719859251e-01	6.765482722e+03	1.587568283e+00	3.345946372e-01
6.870457150e+08	6.044873997e+04	4.208537284e+08	5.773906363e-01	6.676146916e+03	1.588473797e+00	3.351567984e-01
6.870069240e+08	6.075220883e+04	4.271809012e+08	5.828380954e-01	6.590674359e+03	1.589345455e+00	3.357056677e-01
6.869679599e+08	6.105739863e+04	4.335970152e+08	5.883287746e-01	6.507726176e+03	1.590187788e+00	3.362418115e-01
6.869288211e+08	6.136431467e+04	4.401033279e+08	5.938627034e-01	6.426134755e+03	1.590999603e+00	3.367654383e-01
6.868895059e+08	6.167296228e+04	4.467010964e+08	5.994401971e-01	6.344769577e+03	1.591784835e+00	3.372767866e-01
6.868500127e+08	6.198334692e+04	4.533916712e+08	6.050612432e-01	6.264051889e+03	1.592543602e+00	3.377763331e-01
6.868103398e+08	6.229547439e+04	4.601765424e+08	6.107262657e-01	6.186827326e+03	1.593278408e+00	3.382645845e-01
6.867704855e+08	6.260935113e+04	4.670569208e+08	6.164353851e-01	6.112664974e+03	1.593990326e+00	3.387415111e-01
6.867304480e+08	6.292498319e+04	4.740344826e+08	6.221912685e-01	6.041198610e+03	1.594672441e+00	3.392034769e-01
6.866902254e+08	6.324237514e+04	4.811103456e+08	6.279947900e-01	5.972153370e+03	1.595323563e+00	3.396498263e-01
6.866498158e+08	6.356153118e+04	4.882863257e+08	6.338463417e-01	5.905309362e+03	1.595944047e+00	3.400809169e-01
6.866092174e+08	6.388245567e+04	4.955637269e+08	6.397457886e-01	5.840478564e+03	1.596533060e+00	3.404972851e-01
6.865684284e+08	6.420515320e+04	5.029442720e+08	6.456934937e-01	5.777499978e+03	1.597091198e+00	3.408999145e-01
6.865274470e+08	6.452962843e+04	5.104293581e+08	6.516896403e-01	5.716227711e+03	1.597619057e+00	3.412891030e-01
6.864862712e+08	6.485588632e+04	5.180207081e+08	6.577341740e-01	5.656526282e+03	1.598114848e+00	3.416660726e-01
6.864448994e+08	6.518393288e+04	5.257197656e+08	6.638277793e-01	5.598274235e+03	1.598577142e+00	3.420304358e-01
6.864033293e+08	6.551377347e+04	5.335283931e+08	6.699735310e-01	5.541373017e+03	1.598998427e+00	3.423785269e-01
6.863615590e+08	6.584541192e+04	5.414481740e+08	6.761721693e-01	5.485714398e+03	1.599379301e+00	3.427104652e-01
6.863195866e+08	6.617885201e+04	5.494808778e+08	6.824241036e-01	5.431192977e+03	1.599721432e+00	3.430269659e-01
6.862774100e+08	6.651409780e+04	5.576281808e+08	6.887293525e-01	5.377705147e+03	1.600027800e+00	3.433285952e-01
6.862350274e+08	6.685115343e+04	5.658920389e+08	6.950881918e-01	5.325152713e+03	1.600300670e+00	3.436158597e-01
6.861924368e+08	6.719002315e+04	5.742740352e+08	7.015005792e-01	5.273438869e+03	1.600544691e+00	3.438894749e-01
6.861496360e+08	6.753071221e+04	5.827760790e+08	7.079666109e-01	5.222470415e+03	1.600762606e+00	3.441502452e-01
6.861066229e+08	6.787322595e+04	5.914002191e+08	7.144890223e-01	5.172171789e+03	1.600950003e+00	3.443946540e-01
6.860633953e+08	6.821756774e+04	6.001482252e+08	7.210695196e-01	5.122463457e+03	1.601101875e+00	3.446210921e-01
6.860199510e+08	6.856374007e+04	6.090221461e+08	7.277084082e-01	5.073259896e+03	1.601221561e+00	3.448310196e-01
6.859762881e+08	6.891174604e+04	6.180241238e+08	7.344065273e-01	5.024480010e+03	1.601313829e+00	3.450262547e-01
6.859324044e+08	6.926158933e+04	6.271560211e+08	7.411639664e-01	4.976039724e+03	1.601380587e+00	3.452083766e-01
6.858882982e+08	6.961327439e+04	6.364197936e+08	7.479811386e-01	4.927857175e+03	1.601426244e+00	3.453792036e-01
6.858439676e+08	6.996680719e+04	6.458174437e+08	7.548576838e-01	4.879845695e+03	1.601452827e+00	3.455406129e-01
6.857994104e+08	7.032219471e+04	6.553512532e+08	7.617944434e-01	4.831728160e+03	1.601455688e+00	3.456904292e-01
6.857546244e+08	7.067944232e+04	6.650232710e+08	7.687935075e-01	4.783389796e+03	1.601429343e+00	3.458250463e-01
6.857096075e+08	7.103855363e+04	6.748359185e+08	7.758555745e-01	4.735080563e+03	1.601373911e+00	3.459451795e-01
6.856643574e+08	7.139953249e+04	6.847911049e+08	7.829810092e-01	4.686995658e+03	1.601293087e+00	3.460521102e-01
6.856188721e+08	7.176238324e+04	6.948914379e+08	7.901703381e-01	4.639299369e+03	1.601186752e+00	3.461467922e-01
6.855731495e+08	7.212711062e+04	7.051388733e+08	7.974238444e-01	4.592139356e+03	1.601058006e+00	3.462305367e-01
6.855271875e+08	7.249372017e+04	7.155358791e+08	8.047420412e-01	4.545661416e+03	1.600907207e+00	3.463041782e-01
6.854809841e+08	7.286221790e+04	7.260850165e+08	8.121270390e-01	4.500027542e+03	1.600727916e+00	3.463659883e-01
6.854345368e+08	7.323260873e+04	7.367885672e+08	8.195806644e-01	4.455422058e+03	1.600515604e+00	3.464138806e-01
6.853878434e+08	7.360489646e+04	7.476489525e+08	8.271035815e-01	4.412001047e+03	1.600274205e+00	3.464482427e-01
6.853409019e+08	7.397908502e+04	7.586688735e+08	8.346961893e-01	4.368931909e+03	1.600009441e+00	3.464702964e-01
6.852937100e+08	7.435517863e+04	7.698507980e+08	8.423590921e-01	4.325986167e+03	1.599725723e+00	3.464808166e-01
6.852462656e+08	7.473318182e+04	7.811974268e+08	8.500925333e-01	4.283255505e+03	1.599429488e+00	3.464807272e-01
6.851985664e+08	7.511310035e+04	7.927109487e+08	8.578966517e-01	4.240806247e+03	1.599125147e+00	3.464709520e-01
6.851506103e+08	7.549493956e+04	8.043945767e+08	8.657750544e-01	4.198702523e+03	1.598807931e+00	3.464476764e-01
6.851023948e+08	7.587870291e+04	8.162511513e+08	8.737289112e-01	4.156988481e+03	1.598474026e+00	3.464111686e-01
6.850539177e+08	7.626439379e+04	8.282832801e+08	8.817587991e-01	4.115698698e+03	1.598121166e+00	3.463630080e-01
6.850051769e+08	7.665201625e+04	8.404935710e+08	8.898654225e-01	4.074862713e+03	1.597749591e+00	3.463047147e-01
6.849561705e+08	7.704157487e+04	8.528851904e+08	8.980492418e-01	4.034504892e+03	1.597357750e+00	3.462378681e-01
6.849068965e+08	7.743307531e+04	8.654607460e+08	9.063101528e-01	3.994644065e+03	1.596945524e+00	3.461638391e-01
6.848573526e+08	7.782652446e+04	8.782234974e+08	9.146503421e-01	3.955303706e+03	1.596511245e+00	3.460814655e-01
6.848075367e+08	7.822192773e+04	8.911764249e+08	9.230722917e-01	3.916505276e+03	1.596053362e+00	3.459873497e-01
6.847574465e+08	7.861928880e+04	9.043223225e+08	9.315767768e-01	3.878261679e+03	1.595577717e+00	3.458830416e-01
6.847070801e+08	7.901861190e+04	9.176644497e+08	9.401641688e-01	3.840581254e+03	1.595089912e+00	3.457702994e-01
6.846564355e+08	7.941990169e+04	9.312061593e+08	9.488359848e-01	3.803472016e+03	1.594595432e+00	3.456509113e-01
6.846055111e+08	7.982316381e+04	9.449503385e+08	9.575922221e-01	3.766931790e+03	1.594098091e+00	3.455270231e-01
6.845543050e+08	8.022840591e+04	9.588997811e+08	9.664340527e-01	3.731087943e+03	1.593598127e+00	3.453993499e-01
6.845028153e+08	8.063563478e+04	9.730588645e+08	9.753646686e-01	3.696434185e+03	1.593083382e+00	3.452627957e-01
6.844510400e+08	8.104485541e+04	9.874296375e+08	9.843846177e-01	3.662787495e+03	1.592558622e+00	3.451194167e-01
6.843989773e+08	8.145607442e+04	1.002016570e+09	9.934957276e-01	3.629951822e+03	1.592032194e+00	3.449720442e-01
6.843466255e+08	8.186930043e+04	1.016822271e+09	1.002697753e+00	3.597768654e+03	1.591508746e+00	3.448233902e-01
6.842939830e+08	8.228454262e+04	1.031850744e+09	1.011990701e+00	3.566105407e+03	1.590991020e+00	3.446741998e-01
6.842410483e+08	8.270181129e+04	1.047104876e+09	1.021373851e+00	3.534840841e+03	1.590478897e+00	3.445250094e-01
6.841878194e+08	8.312111582e+04	1.062588301e+09	1.030850551e+00	3.503869256e+03	1.589958906e+00	3.443701565e-01
6.841342943e+08	8.354246300e+04	1.078304928e+09	1.040421590e+00	3.473074800e+03	1.589430928e+00	3.442105651e-01
6.840804713e+08	8.396585963e+04	1.094258577e+09	1.050087730e+00	3.442329087e+03	1.588899016e+00	3.440480530e-01
6.840263488e+08	8.439131339e+04	1.110452320e+09	1.059848472e+00	3.411475637e+03	1.588368893e+00	3.438847065e-01
6.839719253e+08	8.481883329e+04	1.126890164e+09	1.069704542e+00	3.380316260e+03	1.587845802e+00	3.437223732e-01
6.839171992e+08	8.524843037e+04	1.143575925e+09	1.079656339e+00	3.348934059e+03	1.587332487e+00	3.435615599e-01
6.838621686e+08	8.568011491e+04	1.160513237e+09	1.089706769e+00	3.318552226e+03	1.586817741e+00	3.433974683e-01
6.838068318e+08	8.611389479e+04	1.177706290e+09	1.099856739e+00	3.289032711e+03	1.586305737e+00	3.432310820e-01
6.837511870e+08	8.654977819e+04	1.195158996e+09	1.110106606e+00	3.260142020e+03	1.585802436e+00	3.430640996e-01
6.836952329e+08	8.698777418e+04	1.212874893e+09	1.120456905e+00	3.231703201e+03	1.585312605e+00	3.428983390e-01
6.836389679e+08	8.742789321e+04	1.230858639e+09	1.130908092e+00	3.203571587e+03	1.584841728e+00	3.427356482e-01
6.835823906e+08	8.787014713e+04	1.249113772e+09	1.141461386e+00	3.175621316e+03	1.584392190e+00	3.425757289e-01
6.835254995e+08	8.831454710e+04	1.267644670e+09	1.152118912e+00	3.147734152e+03	1.583958864e+00	3.424157798e-01
6.834682929e+08	8.876110302e+04	1.286455244e+09	1.162881548e+00	3.119784287e+03	1.583536983e+00	3.422560990e-01
6.834107692e+08	8.920982494e+04	1.305550523e+09	1.173749757e+00	3.091627499e+03	1.583122253e+00	3.420971334e-01
6.833529268e+08	8.966072319e+04	1.324933674e+09	1.184723347e+00	3.063082768e+03	1.582709789e+00	3.419390321e-01
6.832947640e+08	9.011380920e+04	1.344610099e+09	1.195803405e+00	3.033924099e+03	1.582293034e+00	3.417818546e-01
6.832362786e+08	9.056909336e+04	1.364584360e+09	1.206991389e+00	3.004356331e+03	1.581864238e+00	3.416210711e-01
6.831774688e+08	9.102658326e+04	1.384860557e+09	1.218288900e+00	2.974651285e+03	1.581429243e+00	3.414576352e-01
6.831183330e+08	9.148628674e+04	1.405443717e+09	1.229697310e+00	2.944921741e+03	1.580998540e+00	3.412953317e-01
6.830588699e+08	9.194821356e+04	1.426338032e+09	1.241218000e+00	2.915250965e+03	1.580583930e+00	3.411380649e-01
6.829990790e+08	9.241237628e+04	1.447548438e+09	1.252852096e+00	2.885705236e+03	1.580196381e+00	3.409897387e-01
6.829389592e+08	9.287879096e+04	1.469079312e+09	1.264600686e+00	2.856341306e+03	1.579837561e+00	3.408509493e-01
6.828785095e+08	9.334747306e+04	1.490934845e+09	1.276465288e+00	2.827212044e+03	1.579493642e+00	3.407169282e-01
6.828177290e+08	9.381843563e+04	1.513120718e+09	1.288446813e+00	2.798368183e+03	1.579168916e+00	3.405884206e-01
6.827566165e+08	9.429169193e+04	1.535640750e+09	1.300544457e+00	2.769859591e+03	1.578867197e+00	3.404662907e-01
6.826951711e+08	9.476725609e+04	1.558500249e+09	1.312759410e+00	2.741745218e+03	1.578592300e+00	3.403515816e-01
6.826333918e+08	9.524514375e+04	1.581703871e+09	1.325091438e+00	2.714093678e+03	1.578347445e+00	3.402441442e-01
6.825712774e+08	9.572536918e+04	1.605257206e+09	1.337542797e+00	2.687000479e+03	1.578128099e+00	3.401399255e-01
6.825088267e+08	9.620794432e+04	1.629164815e+09	1.350115085e+00	2.660604782e+03	1.577933311e+00	3.400416076e-01
6.824460393e+08	9.669288265e+04	1.653431728e+09	1.362808577e+00	2.634741043e+03	1.577761054e+00	3.399531543e-01
6.823829150e+08	9.718020020e+04	1.678062417e+09	1.375623825e+00	2.608965465e+03	1.577612162e+00	3.398786187e-01
6.823194539e+08	9.766991669e+04	1.703062095e+09	1.388562287e+00	2.583351514e+03	1.577485919e+00	3.398211300e-01
6.822556558e+08	9.816205397e+04	1.728436165e+09	1.401624660e+00	2.557955052e+03	1.577381134e+00	3.397783935e-01
6.821915207e+08	9.865663267e+04	1.754189096e+09	1.414811586e+00	2.532815927e+03	1.577299356e+00	3.397482932e-01
6.821270481e+08	9.915367225e+04	1.780325547e+09	1.428122952e+00	2.507960707e+03	1.577242017e+00	3.397296667e-01
6.820622375e+08	9.965319181e+04	1.806851476e+09	1.441559026e+00	2.483404849e+03	1.577211618e+00	3.397218585e-01
6.819970884e+08	1.001552098e+05	1.833771914e+09	1.455120701e+00	2.459177112e+03	1.577208400e+00	3.397240937e-01
6.819316003e+08	1.006597445e+05	1.861092076e+09	1.468808778e+00	2.435618573e+03	1.577232122e+00	3.397366107e-01
6.818657726e+08	1.011668147e+05	1.888817735e+09	1.482624382e+00	2.412729810e+03	1.577280998e+00	3.397594988e-01
6.817996050e+08	1.016764393e+05	1.916954108e+09	1.496568459e+00	2.390403061e+03	1.577353954e+00	3.397926092e-01
6.817330968e+08	1.021886374e+05	1.945506781e+09	1.510641907e+00	2.368555745e+03	1.577448606e+00	3.398354948e-01
6.816662476e+08	1.027034280e+05	1.974481344e+09	1.524845824e+00	2.347122416e+03	1.577564955e+00	3.398880363e-01
6.815990568e+08	1.032208303e+05	2.003883384e+09	1.539180692e+00	2.326048647e+03	1.577701569e+00	3.399500847e-01
6.815315239e+08	1.037408637e+05	2.033719234e+09	1.553647606e+00	2.305289119e+03	1.577857971e+00	3.400214016e-01
6.814636482e+08	1.042635476e+05	2.063993923e+09	1.568247208e+00	2.284804210e+03	1.578034401e+00	3.401015699e-01
6.813954291e+08	1.047889013e+05	2.094714157e+09	1.582980912e+00	2.264559807e+03	1.578231335e+00	3.401905000e-01
6.813268660e+08	1.053169444e+05	2.125885524e+09	1.597849115e+00	2.244524343e+03	1.578449845e+00	3.402878940e-01
6.812579582e+08	1.058476968e+05	2.157513797e+09	1.612853103e+00	2.224670037e+03	1.578692436e+00	3.403931558e-01
6.811887049e+08	1.063811778e+05	2.189605869e+09	1.627994498e+00	2.204971743e+03	1.578957796e+00	3.405058980e-01
6.811191053e+08	1.069174068e+05	2.222167887e+09	1.643274177e+00	2.185405445e+03	1.579244375e+00	3.406256735e-01
6.810491587e+08	1.074564031e+05	2.255206183e+09	1.658693565e+00	2.165949212e+03	1.579550028e+00	3.407520652e-01
6.809788642e+08	1.079981860e+05	2.288727090e+09	1.674253830e+00	2.146582166e+03	1.579873085e+00	3.408849537e-01
6.809082210e+08	1.085427746e+05	2.322736941e+09	1.689956024e+00	2.127284399e+03	1.580211163e+00	3.410242796e-01
6.808372284e+08	1.090901881e+05	2.357243188e+09	1.705802067e+00	2.108037672e+03	1.580562592e+00	3.411698639e-01
6.807658857e+08	1.096404458e+05	2.392251603e+09	1.721792564e+00	2.088823259e+03	1.580924988e+00	3.413217962e-01
6.806941920e+08	1.101935673e+05	2.427769639e+09	1.737928872e+00	2.069623634e+03	1.581297159e+00	3.414804637e-01
6.806221467e+08	1.107495721e+05	2.463804185e+09	1.754212254e+00	2.050421527e+03	1.581683517e+00	3.416455686e-01
6.805497492e+08	1.113084785e+05	2.500361204e+09	1.770643780e+00	2.031199670e+03	1.582083702e+00	3.418163955e-01
6.804769991e+08	1.118703039e+05	2.537448891e+09	1.787223874e+00	2.011940129e+03	1.582496762e+00	3.419929147e-01
6.804038956e+08	1.124350669e+05	2.575073205e+09	1.803948373e+00	1.992620707e+03	1.582924485e+00	3.421764374e-01
6.803304381e+08	1.130027872e+05	2.613241412e+09	1.820817438e+00	1.973221533e+03	1.583365798e+00	3.423670530e-01
6.802566258e+08	1.135734850e+05	2.651961520e+09	1.837832180e+00	1.953721226e+03	1.583821177e+00	3.425653577e-01
6.801824582e+08	1.141471808e+05	2.691239491e+09	1.854992849e+00	1.934093852e+03	1.584289312e+00	3.427714109e-01
6.801079346e+08	1.147238953e+05	2.731083147e+09	1.872300098e+00	1.914307132e+03	1.584770203e+00	3.429857492e-01
6.800330547e+08	1.153036490e+05	2.771499567e+09	1.889755637e+00	1.894317795e+03	1.585266113e+00	3.432093859e-01
6.799578185e+08	1.158864642e+05	2.812496014e+09	1.907359646e+00	1.874059685e+03	1.585784674e+00	3.434453905e-01
6.798822258e+08	1.164723657e+05	2.854078822e+09	1.925112633e+00	1.853493350e+03	1.586325526e+00	3.436932266e-01
6.798062765e+08	1.170613783e+05	2.896256559e+09	1.943014662e+00	1.833265465e+03	1.586886883e+00	3.439518809e-01
6.797299700e+08	1.176535261e+05	2.939035930e+09	1.961066342e+00	1.813429796e+03	1.587465286e+00	3.442198038e-01
6.796533060e+08	1.182488327e+05	2.982424200e+09	1.979266785e+00	1.793819542e+03	1.588058949e+00	3.444962204e-01
6.795762836e+08	1.188473211e+05	3.026429750e+09	1.997617438e+00	1.774274371e+03	1.588666081e+00	3.447796404e-01
6.794989019e+08	1.194490140e+05	3.071060404e+09	2.016118235e+00	1.754622899e+03	1.589282990e+00	3.450689316e-01
6.794211600e+08	1.200539314e+05	3.116324544e+09	2.034769609e+00	1.734666038e+03	1.589907646e+00	3.453628123e-01
6.793430575e+08	1.206620930e+05	3.162229061e+09	2.053572637e+00	1.714437960e+03	1.590551138e+00	3.456665576e-01
6.792645945e+08	1.212735234e+05	3.208782151e+09	2.072528291e+00	1.694085010e+03	1.591222048e+00	3.459835052e-01
6.791857710e+08	1.218882498e+05	3.255992010e+09	2.091637565e+00	1.673629457e+03	1.591916800e+00	3.463124633e-01
6.791065867e+08	1.225062990e+05	3.303865716e+09	2.110899394e+00	1.653088634e+03	1.592633247e+00	3.466521204e-01
6.790270414e+08	1.231276972e+05	3.352411464e+09	2.130314729e+00	1.632478750e+03	1.593367815e+00	3.470011652e-01
6.789471343e+08	1.237524699e+05	3.401637822e+09	2.149884271e+00	1.611814429e+03	1.594118834e+00	3.473581970e-01
6.788668647e+08	1.243806417e+05	3.451553360e+09	2.169608409e+00	1.591109141e+03	1.594880939e+00	3.477217555e-01
6.787862318e+08	1.250122363e+05	3.502166644e+09	2.189487934e+00	1.570375830e+03	1.595652580e+00	3.480903804e-01
6.787052341e+08	1.256472768e+05	3.553486243e+09	2.209522525e+00	1.549626326e+03	1.596428871e+00	3.484624028e-01
6.786238704e+08	1.262857856e+05	3.605521843e+09	2.229713371e+00	1.528872709e+03	1.597206831e+00	3.488363326e-01
6.785421387e+08	1.269277840e+05	3.658282384e+09	2.250062667e+00	1.508127071e+03	1.597982287e+00	3.492105305e-01
6.784600376e+08	1.275732900e+05	3.711778298e+09	2.270570511e+00	1.487400263e+03	1.598750830e+00	3.495831490e-01
6.783775658e+08	1.282223211e+05	3.766018152e+09	2.291238692e+00	1.466703504e+03	1.599526405e+00	3.499601781e-01
6.782947227e+08	1.288749004e+05	3.821011260e+09	2.312068794e+00	1.446047256e+03	1.600316405e+00	3.503451943e-01
6.782115077e+08	1.295310535e+05	3.876766562e+09	2.333060529e+00	1.425440706e+03	1.601119161e+00	3.507370949e-01
6.781279200e+08	1.301908058e+05	3.933293372e+09	2.354215847e+00	1.404893659e+03	1.601931214e+00	3.511345983e-01
6.780439584e+08	1.308541821e+05	3.990601748e+09	2.375534601e+00	1.384414742e+03	1.602750659e+00	3.515366316e-01
6.779596218e+08	1.315212064e+05	4.048702493e+09	2.397017752e+00	1.364012730e+03	1.603574276e+00	3.519418538e-01
6.778749088e+08	1.321919022e+05	4.107602686e+09	2.418666284e+00	1.343696106e+03	1.604399085e+00	3.523488641e-01
6.777898177e+08	1.328662918e+05	4.167316109e+09	2.440481707e+00	1.323473238e+03	1.605222702e+00	3.527562916e-01
6.777043466e+08	1.335443970e+05	4.227851331e+09	2.462464098e+00	1.303351666e+03	1.606041789e+00	3.531628549e-01
6.776184936e+08	1.342262385e+05	4.289219528e+09	2.484615494e+00	1.283339319e+03	1.606853008e+00	3.535669446e-01
6.775322565e+08	1.349118354e+05	4.351433367e+09	2.506937935e+00	1.263443820e+03	1.607653618e+00	3.539671302e-01
6.774456332e+08	1.356012047e+05	4.414502904e+09	2.529432244e+00	1.243672097e+03	1.608447671e+00	3.543652296e-01
6.773586224e+08	1.362943663e+05	4.478437826e+09	2.552101033e+00	1.224031173e+03	1.609245300e+00	3.547655344e-01
6.772712227e+08	1.369913435e+05	4.543251172e+09	2.574946897e+00	1.204527537e+03	1.610044479e+00	3.551674187e-01
6.771834324e+08	1.376921592e+05	4.608951509e+09	2.597967923e+00	1.185168812e+03	1.610843658e+00	3.555699289e-01
6.770952500e+08	1.383968360e+05	4.675555602e+09	2.621168643e+00	1.165968110e+03	1.611642122e+00	3.559722304e-01
6.770066736e+08	1.391053959e+05	4.743071273e+09	2.644548856e+00	1.146930081e+03	1.612436771e+00	3.563734591e-01
6.769177012e+08	1.398178601e+05	4.811509699e+09	2.668109128e+00	1.128059121e+03	1.613225698e+00	3.567727208e-01
6.768283308e+08	1.405342497e+05	4.880885407e+09	2.691852934e+00	1.109360217e+03	1.614006877e+00	3.571690619e-01
6.767385601e+08	1.412545847e+05	4.951211065e+09	2.715780058e+00	1.090837155e+03	1.614778042e+00	3.575617075e-01
6.766483867e+08	1.419788849e+05	5.022496730e+09	2.739892326e+00	1.072494092e+03	1.615536809e+00	3.579497337e-01
6.765578082e+08	1.427071685e+05	5.094758794e+09	2.764192603e+00	1.054335277e+03	1.616280556e+00	3.583324254e-01
6.764668225e+08	1.434394535e+05	5.168008059e+09	2.788685251e+00	1.036365096e+03	1.617013693e+00	3.587120771e-01
6.763754277e+08	1.441757599e+05	5.242257938e+09	2.813371733e+00	1.018586982e+03	1.617738366e+00	3.590896726e-01
6.762836219e+08	1.449161088e+05	5.317521468e+09	2.838253925e+00	1.001004328e+03	1.618453741e+00	3.594649136e-01
6.761914031e+08	1.456605210e+05	5.393815413e+09	2.863332666e+00	9.836202537e+02	1.619161606e+00	3.598378003e-01
6.760987692e+08	1.464090174e+05	5.471148342e+09	2.888608082e+00	9.664378053e+02	1.619860411e+00	3.602079153e-01
6.760057183e+08	1.471616189e+05	5.549537763e+09	2.914082161e+00	9.494606635e+02	1.620550871e+00	3.605751395e-01
6.759122480e+08	1.479183462e+05	5.628995225e+09	2.939755093e+00	9.326926398e+02	1.621233344e+00	3.609391451e-01
6.758183561e+08	1.486792203e+05	5.709536374e+09	2.965627364e+00	9.161386699e+02	1.621908426e+00	3.612997532e-01
6.757240403e+08	1.494442618e+05	5.791175738e+09	2.991701201e+00	8.998061906e+02	1.622575760e+00	3.616564572e-01
6.756292982e+08	1.502134907e+05	5.873926729e+09	3.017977010e+00	8.837007413e+02	1.623235703e+00	3.620091379e-01
6.755341275e+08	1.509869268e+05	5.957806483e+09	3.044462363e+00	8.677425557e+02	1.623888969e+00	3.623587191e-01
6.754385264e+08	1.517645909e+05	6.042828783e+09	3.071160827e+00	8.519460716e+02	1.624535322e+00	3.627055585e-01
6.753424929e+08	1.525465039e+05	6.129009277e+09	3.098073959e+00	8.363545833e+02	1.625175238e+00	3.630499244e-01
